Player,Age,Year,Tm,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_per36,GS_per36,MP_per36,FG_per36,FGA_per36,3P_per36,3PA_per36,2P_per36,2PA_per36,FT_per36,FTA_per36,ORB_per36,DRB_per36,TRB_per36,AST_per36,STL_per36,BLK_per36,TOV_per36,PF_per36,PTS_per36,Cluster,PC1,PC2,PC3
A.J. Green,25,2024,MIL,SG,73,7,1659,182,424,155,363,27,61,22,27,18,156,174,108,37,7,40,157,541,1.5840867992766725,0.15189873417721517,36.0,3.949367088607595,9.200723327305605,3.3634719710669074,7.877034358047016,0.5858951175406872,1.3236889692585896,0.4773960216998192,0.5858951175406872,0.39059674502712477,3.3851717902350815,3.775768535262206,2.343580470162749,0.8028933092224232,0.15189873417721517,0.867992766726944,3.406871609403255,11.739602169981916,0,-4.492755091669449,-1.8027739395695423,0.41273625692451354
AJ Griffin,19,2023,ATL,SF,72,12,1401,248,533,101,259,147,274,42,47,37,116,153,73,42,12,42,87,639,1.8501070663811563,0.3083511777301927,36.0,6.372591006423983,13.69593147751606,2.5952890792291217,6.655246252676659,3.777301927194861,7.0406852248394,1.0792291220556745,1.2077087794432548,0.9507494646680943,2.9807280513918633,3.9314775160599575,1.8758029978586723,1.0792291220556745,0.3083511777301927,1.0792291220556745,2.235546038543897,16.419700214132764,0,-1.8760134429859587,-1.5180329471137295,-0.18134605755798436
Aaron Gordon,25,2021,DEN,PF,50,50,1384,231,499,59,176,172,323,97,149,77,207,284,161,33,34,97,89,618,1.300578034682081,1.300578034682081,36.0,6.008670520231213,12.979768786127167,1.5346820809248554,4.578034682080925,4.473988439306358,8.401734104046243,2.523121387283237,3.875722543352601,2.0028901734104045,5.384393063583815,7.38728323699422,4.187861271676301,0.8583815028901733,0.8843930635838151,2.523121387283237,2.315028901734104,16.07514450867052,0,0.4286635646992266,0.5601856193019624,-0.7788368303743148
Aaron Gordon,26,2022,DEN,PF,75,75,2376,434,834,87,260,347,574,171,230,125,314,439,188,44,44,133,148,1126,1.1363636363636365,1.1363636363636365,36.0,6.575757575757576,12.636363636363637,1.3181818181818181,3.9393939393939394,5.257575757575757,8.696969696969697,2.5909090909090913,3.484848484848485,1.893939393939394,4.757575757575758,6.651515151515151,2.8484848484848486,0.6666666666666666,0.6666666666666666,2.015151515151515,2.2424242424242427,17.06060606060606,0,0.7633493683963087,0.26857158850903284,2.332389424453222
Aaron Gordon,27,2023,DEN,PF,68,68,2055,429,761,60,173,369,588,191,314,164,282,446,203,54,51,98,129,1109,1.1912408759124087,1.1912408759124087,36.0,7.515328467153284,13.33138686131387,1.051094890510949,3.0306569343065695,6.464233576642336,10.300729927007298,3.345985401459854,5.500729927007299,2.872992700729927,4.94014598540146,7.813138686131387,3.5562043795620437,0.945985401459854,0.8934306569343066,1.7167883211678832,2.25985401459854,19.427737226277372,2,1.9665403868519267,1.1829690178808294,1.2636546546431249
Aaron Gordon,29,2024,DEN,PF,51,42,1447,264,497,75,172,189,325,145,179,80,167,247,164,23,14,73,82,748,1.2688320663441603,1.0449205252246025,36.0,6.568071872840359,12.364892881824465,1.8659295093296475,4.2791983413959915,4.702142363510712,8.085694540428472,3.6074637180373186,4.453351762266759,1.9903248099516242,4.1548030407740155,6.14512785072564,4.08016586040083,0.572218382861092,0.34830684174153426,1.816171389080857,2.040082930200415,18.609536973047682,0,0.5581548905987803,-0.2444288024035196,-0.7089937366317101
Aaron Holiday,24,2021,IND,PG,66,8,1176,170,436,67,182,103,254,68,83,15,74,89,123,46,13,66,94,475,2.020408163265306,0.24489795918367346,36.0,5.204081632653061,13.346938775510205,2.0510204081632653,5.571428571428571,3.1530612244897958,7.775510204081632,2.0816326530612246,2.540816326530612,0.45918367346938777,2.2653061224489797,2.7244897959183674,3.7653061224489797,1.4081632653061225,0.3979591836734694,2.020408163265306,2.8775510204081636,14.540816326530612,0,-1.5926222516314026,-1.4437357686166414,-1.2589354183198367
Aaron Holiday,25,2022,PHO,PG,63,15,1021,151,338,39,103,112,235,59,68,24,98,122,153,42,9,67,92,400,2.2213516160626834,0.5288932419196866,36.0,5.3241919686581785,11.917727717923604,1.375122428991185,3.631733594515181,3.949069539666993,8.285994123408424,2.080313418217434,2.397649363369246,0.8462291870714985,3.4554358472086193,4.301665034280117,5.394711067580803,1.4809010773751223,0.31733594515181196,2.362389813907934,3.243878550440744,14.103819784524974,0,-1.1482699381493195,-0.2951514623887384,-1.5067211070590054
Aaron Nesmith,23,2023,IND,SF,73,60,1816,252,590,115,314,137,276,119,142,62,215,277,98,55,34,75,235,738,1.447136563876652,1.1894273127753303,36.0,4.995594713656388,11.69603524229075,2.2797356828193833,6.224669603524229,2.7158590308370045,5.471365638766519,2.359030837004405,2.814977973568282,1.2290748898678414,4.262114537444934,5.491189427312775,1.9427312775330399,1.0903083700440528,0.6740088105726872,1.4867841409691631,4.658590308370044,14.629955947136564,0,-1.5789287093391458,0.05472251979868699,1.0446606021657012
Aaron Nesmith,25,2024,IND,SF,45,37,1123,192,379,84,195,108,184,73,80,37,141,178,54,35,17,37,114,541,1.4425645592163847,1.1861086375779162,36.0,6.154942119323241,12.14959928762244,2.6927871772039182,6.251113089937666,3.462154942119323,5.898486197684773,2.3401602849510237,2.5645592163846835,1.1861086375779162,4.520035618878005,5.7061442564559215,1.7310774710596615,1.121994657168299,0.5449688334817453,1.1861086375779162,3.6544968833481746,17.342831700801426,0,-1.3759708689978436,-0.2840234253379544,-1.5983275994382875
